AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.0001
    maximize: False
    weight_decay: 0.0001
)
Using RandomRotation, RandomFlip
#################### Start Training ####################
2024-05-02 19:57:28.486283 Epoch [001/040], Step [0020/0223],  lateral-5: 1.2600]
2024-05-02 19:57:44.641378 Epoch [001/040], Step [0040/0223],  lateral-5: 1.0838]
2024-05-02 19:58:00.644311 Epoch [001/040], Step [0060/0223],  lateral-5: 0.7802]
2024-05-02 19:58:16.593403 Epoch [001/040], Step [0080/0223],  lateral-5: 0.5987]
2024-05-02 19:58:32.559916 Epoch [001/040], Step [0100/0223],  lateral-5: 0.5202]
2024-05-02 19:58:48.516276 Epoch [001/040], Step [0120/0223],  lateral-5: 0.4556]
2024-05-02 19:59:04.492999 Epoch [001/040], Step [0140/0223],  lateral-5: 0.4024]
2024-05-02 19:59:20.503996 Epoch [001/040], Step [0160/0223],  lateral-5: 0.3888]
2024-05-02 19:59:36.524980 Epoch [001/040], Step [0180/0223],  lateral-5: 0.3815]
2024-05-02 19:59:52.546664 Epoch [001/040], Step [0200/0223],  lateral-5: 0.3731]
2024-05-02 20:00:08.573247 Epoch [001/040], Step [0220/0223],  lateral-5: 0.3536]
2024-05-02 20:00:10.969929 Epoch [001/040], Step [0223/0223],  lateral-5: 0.3530]
the current epoch is 1, the validation dice is 0.780802011095701
##############################################################################best 0.780802011095701
2024-05-02 20:04:19.276676 Epoch [002/040], Step [0020/0223],  lateral-5: 0.3272]
2024-05-02 20:04:35.255417 Epoch [002/040], Step [0040/0223],  lateral-5: 0.3277]
2024-05-02 20:04:51.155637 Epoch [002/040], Step [0060/0223],  lateral-5: 0.3157]
2024-05-02 20:05:07.090546 Epoch [002/040], Step [0080/0223],  lateral-5: 0.3205]
2024-05-02 20:05:23.046061 Epoch [002/040], Step [0100/0223],  lateral-5: 0.3139]
2024-05-02 20:05:39.022516 Epoch [002/040], Step [0120/0223],  lateral-5: 0.2922]
2024-05-02 20:05:55.060750 Epoch [002/040], Step [0140/0223],  lateral-5: 0.2966]
2024-05-02 20:06:11.080260 Epoch [002/040], Step [0160/0223],  lateral-5: 0.2929]
2024-05-02 20:06:27.078404 Epoch [002/040], Step [0180/0223],  lateral-5: 0.2858]
2024-05-02 20:06:43.305855 Epoch [002/040], Step [0200/0223],  lateral-5: 0.2893]
2024-05-02 20:06:59.309269 Epoch [002/040], Step [0220/0223],  lateral-5: 0.2953]
2024-05-02 20:07:01.439635 Epoch [002/040], Step [0223/0223],  lateral-5: 0.2952]
the current epoch is 2, the validation dice is 0.8455350208044379
##############################################################################best 0.8455350208044379
2024-05-02 20:10:57.465979 Epoch [003/040], Step [0020/0223],  lateral-5: 0.2982]
2024-05-02 20:11:13.467716 Epoch [003/040], Step [0040/0223],  lateral-5: 0.2895]
2024-05-02 20:11:29.383082 Epoch [003/040], Step [0060/0223],  lateral-5: 0.2760]
2024-05-02 20:11:45.335245 Epoch [003/040], Step [0080/0223],  lateral-5: 0.2585]
2024-05-02 20:12:01.300739 Epoch [003/040], Step [0100/0223],  lateral-5: 0.2503]
2024-05-02 20:12:17.349818 Epoch [003/040], Step [0120/0223],  lateral-5: 0.2685]
2024-05-02 20:12:33.464995 Epoch [003/040], Step [0140/0223],  lateral-5: 0.2713]
2024-05-02 20:12:49.499274 Epoch [003/040], Step [0160/0223],  lateral-5: 0.2617]
2024-05-02 20:13:05.514473 Epoch [003/040], Step [0180/0223],  lateral-5: 0.2625]
2024-05-02 20:13:21.515903 Epoch [003/040], Step [0200/0223],  lateral-5: 0.2693]
2024-05-02 20:13:37.518660 Epoch [003/040], Step [0220/0223],  lateral-5: 0.2634]
2024-05-02 20:13:39.649006 Epoch [003/040], Step [0223/0223],  lateral-5: 0.2601]
the current epoch is 3, the validation dice is 0.8311364771151183
2024-05-02 20:17:24.433181 Epoch [004/040], Step [0020/0223],  lateral-5: 0.2759]
2024-05-02 20:17:40.420223 Epoch [004/040], Step [0040/0223],  lateral-5: 0.2691]
2024-05-02 20:17:56.366396 Epoch [004/040], Step [0060/0223],  lateral-5: 0.2551]
2024-05-02 20:18:12.320753 Epoch [004/040], Step [0080/0223],  lateral-5: 0.2459]
2024-05-02 20:18:28.280970 Epoch [004/040], Step [0100/0223],  lateral-5: 0.2419]
2024-05-02 20:18:44.346780 Epoch [004/040], Step [0120/0223],  lateral-5: 0.2464]
2024-05-02 20:19:00.554348 Epoch [004/040], Step [0140/0223],  lateral-5: 0.2468]
